"time","close","high","low","open","volumefrom","volumeto","VOLALITY8hour"
"2017-07-19",210.95,219.01,204.26,217.76,258144.12,54896909.94,5.57
"2017-07-20",207.17,211.11,201.41,210.95,130844.57,26907898.74,5.57
"2017-07-20",224.39,225.27,204.11,207.17,233939.02,50562094.39,6.47
"2017-07-20",226.69,235.86,220.65,224.39,511759.38,116865184.63,6.36
"2017-07-20",223.31,233.69,223.03,226.69,237882.2,54344668.23,5.55
"2017-07-20",229.05,232.1,217.55,223.31,269346.4,60765016.02,5.03
"2017-07-20",226.33,229.2,215.71,229.05,270937.49,60779307.18,3.51
"2017-07-20",226.97,227.44,218.67,226.33,146679,32820578.96,3.18
"2017-07-20",229.41,229.71,223.93,226.97,96990.81,22047491.06,2.96
"2017-07-21",227.91,236.62,226.7,229.41,158522.37,36972569.9,1.33
"2017-07-21",226.06,233.69,224.35,227.91,94817.99,21698823.46,1.33
"2017-07-21",224.59,229.37,223.46,226.06,92833.41,20981913.3,1.23
"2017-07-21",217.99,225.09,216.09,224.59,143149.35,31611061.08,1.17
"2017-07-21",210.33,222.5,209.46,217.99,186689.49,40185524.93,1.55
"2017-07-21",216.33,219.13,210.33,210.33,125897.71,27065333.84,2.03
"2017-07-21",222.27,223.63,215.3,216.33,94049.68,20750756.71,2.3
"2017-07-21",222.79,223.09,219.01,222.27,59071.87,13122155.71,2.31
"2017-07-22",222.62,225.18,220.82,222.79,67545.48,15132429.6,2.3
"2017-07-22",224.71,227.31,221.79,222.62,80036.47,18147584.84,2.33
"2017-07-22",223.32,226.12,221.52,224.71,72206.43,16262776.09,2.02
"2017-07-22",225.32,226.06,222.39,223.32,60733.09,13659702,1.23
"2017-07-22",225.4,226.01,224.27,225.32,43070.68,9708647.3,1
"2017-07-22",230.47,236.55,225.27,225.4,190716.16,44344700.31,0.8609
"2017-07-22",230.69,234.17,229.36,230.47,76971.58,17891542.12,0.8687
"2017-07-22",227.08,231.5,224.93,230.69,97203.2,22176757.02,1.13
"2017-07-23",225.14,228.63,223.93,227.08,60489.46,13627150.21,1.16
"2017-07-23",220.77,227.23,220.3,225.14,76377.86,17024243.52,1.34
"2017-07-23",229,230.95,220.77,220.77,91149.33,20633568.98,1.89
"2017-07-23",229.51,230.3,227.47,229,46284.61,10601411.88,1.89
"2017-07-23",231.38,232.06,229.1,229.51,51301.86,11836771.69,1.74
"2017-07-23",228.32,231.66,225.67,231.38,63363.25,14510487.25,1.8
"2017-07-23",229.5,229.56,226.59,228.32,36268.37,8311058.43,1.71
"2017-07-23",224.62,229.56,224.09,229.5,85961.25,19468699.11,1.87
"2017-07-24",226.51,226.8,224.62,224.62,44949.08,10145685.49,1.71
"2017-07-24",226.74,228.04,226.01,226.51,36409.77,8275140.45,1.06
"2017-07-24",227.71,229.13,225.08,226.74,59464.41,13530335.87,1.08
"2017-07-24",224.26,228.14,224.14,227.71,59405.41,13452315.22,1.1
"2017-07-24",225.79,226.96,224.04,224.26,44316.17,9984994.58,1.1
"2017-07-24",225.48,226.26,224.77,225.79,31024.9,6997664.8,1.06
"2017-07-24",224.45,225.98,224,225.48,38846.42,8738190.64,0.7479
"2017-07-24",223.55,224.5,222.47,224.45,41767.45,9340059.19,0.6685
"2017-07-25",214.64,223.95,210.15,223.55,276538.84,59696509.16,1.49
"2017-07-25",205.34,216.72,201.75,214.64,211476.22,43949040.99,1.85
"2017-07-25",206.8,209.93,201.98,205.34,178648.17,36816994.45,2
"2017-07-25",205.26,208.4,202.55,206.8,107027.79,21951521.38,1.88
"2017-07-25",192.99,205.39,192.64,205.26,271914.39,53707481.36,2.42
